industria,anio,valor
Actividades de servicios administrativos y de apoyo,2005.0,48.8506053656195
Actividades de servicios administrativos y de apoyo,2006.0,52.923889220960355
Actividades de servicios administrativos y de apoyo,2007.0,58.408275476445645
Actividades de servicios administrativos y de apoyo,2008.0,64.0730929825349
Actividades de servicios administrativos y de apoyo,2009.0,70.06336027965916
Actividades de servicios administrativos y de apoyo,2010.0,76.01694915254237
Actividades de servicios administrativos y de apoyo,2011.0,80.4887693767795
Actividades de servicios administrativos y de apoyo,2012.0,85.91905246878653
Actividades de servicios administrativos y de apoyo,2013.0,90.50775791020173
Actividades de servicios administrativos y de apoyo,2014.0,96.42725967478046
Actividades de servicios administrativos y de apoyo,2015.0,100.0
Actividades de servicios administrativos y de apoyo,2016.0,107.14912576790655
Actividades de servicios administrativos y de apoyo,2017.0,111.14341718392681
Actividades de servicios administrativos y de apoyo,2018.0,115.14617490637882
Actividades de servicios administrativos y de apoyo,2019.0,119.5876601688225
Actividades de servicios administrativos y de apoyo,2020.0,121.21434966108198
Actividades de servicios administrativos y de apoyo,2021.0,126.30808849350346
Actividades de servicios administrativos y de apoyo,2022.0,137.88391323024055
Actividades de servicios administrativos y de apoyo,,149.95137848563692
Actividades de servicios administrativos y de apoyo,,161.23072094655942
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2005.0,37.04976834553879
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2005.0,37.04976834553879
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2006.0,41.10355857656937
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2006.0,41.10355857656937
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2007.0,47.07425872474416
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2007.0,47.07425872474416
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2008.0,54.15170816444702
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2008.0,54.15170816444702
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2009.0,61.377699941622886
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2009.0,61.377699941622886
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2010.0,65.34769374853664
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2010.0,65.34769374853664
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2011.0,72.29159635504556
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2011.0,72.29159635504556
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2012.0,84.58514819929884
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2012.0,84.58514819929884
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2013.0,93.71683093252464
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2013.0,93.71683093252464
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2014.0,101.623519087319
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2014.0,101.623519087319
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2015.0,100.0
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2015.0,100.0
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2016.0,115.61247741023021
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2016.0,115.61247741023021
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2017.0,128.43466164798298
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2017.0,128.43466164798298
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2018.0,133.9761248852158
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2018.0,133.9761248852158
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2019.0,130.3744323536972
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2019.0,130.3744323536972
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2020.0,130.208072198546
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2020.0,130.208072198546
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2021.0,134.34390187456606
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2021.0,134.34390187456606
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2022.0,137.56066680734332
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),2022.0,137.56066680734332
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),,156.90433686863383
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),,156.90433686863383
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),,171.24271312336091
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores),,171.24271312336091
Actividades financieras y de seguros,2005.0,76.80238589211619
Actividades financieras y de seguros,2005.0,76.80238589211619
Actividades financieras y de seguros,2005.0,76.80238589211619
Actividades financieras y de seguros,2006.0,75.91240875912408
